hostname,st_teff,st_lum,st_mass,st_rad,st_logg,st_met,st_age,sy_dist_log,sy_pm,sy_snum,sy_gaiamag,st_spectype_group,sy_pnum,hz_pnum,has_hz_planet,st_logg_filled
Kepler-1025,6134.11,0.28708,1.16,1.23222,4.32115,-0.2255,,2.9051350344223565,20.2099576,1,13.5557,,1,0,0,False
Kepler-985,5434.0,-0.24779376227663918,0.91,0.85,4.54,0.0,3.39,2.832100611755456,8.712627,1,14.7169,,1,0,0,False
Kepler-946,5665.0,-0.09734459612717813,0.94,0.93,4.47,-0.09,4.17,3.0558712204844314,22.2302672,1,14.9234,,1,0,0,False
Kepler-1014,5388.0,-0.27284122970515745,0.88,0.84,4.54,-0.06,4.79,2.7957410208692437,11.8924379,1,14.6265,,1,0,0,False
Kepler-1010,5253.0,-0.33785284205284494,0.86,0.82,4.55,-0.01,4.79,2.762883286440916,5.1939583,1,14.6875,,1,0,0,False
Kepler-993,3843.0,-1.2436410925293806,0.57,0.54,4.72,0.03,3.89,2.5111116359799257,4.9977908,1,15.9243,,1,0,0,False
Kepler-1013,4954.0,-0.5056589564718572,0.81,0.76,4.59,0.04,4.27,2.625565544125448,10.6592773,1,14.4077,,1,0,0,False
Kepler-1054,6209.0,0.37918608608083587,1.22,1.34,4.26,0.09,2.82,3.037629652422657,9.8007537,1,14.085,,1,0,0,False
Kepler-1033,5547.0,-0.14330183182626008,0.94,0.92,4.49,0.06,5.01,3.1630122097748297,16.1411619,1,15.9289,,1,0,0,False
Kepler-953,5416.0,-0.12112513812926107,0.95,0.99,4.42,0.26,8.71,2.4131203080537524,23.6602042,1,12.1425,,2,0,0,False
Kepler-1003,6109.0,0.23314207398764852,1.11,1.17,4.35,0.01,3.16,2.974005719063294,4.9916336,1,14.0225,,1,0,0,False
Kepler-1055,5723.0,-0.07035945919975921,0.98,0.94,4.49,-0.02,3.09,2.5903926012968412,11.6427277,1,13.0728,,1,0,0,False
Kepler-1008,5066.0,-0.44426020283363504,0.81,0.78,4.56,-0.01,6.76,2.4511183668252676,23.0988293,2,13.379,,1,0,0,False
Kepler-1045,5301.0,-0.32205122835957317,0.86,0.82,4.55,-0.03,4.47,2.97427444697431,5.2150003,1,15.549,,1,0,0,False
Kepler-983,6052.0,0.14733303834578326,1.13,1.08,4.42,0.12,1.41,2.853963938153344,13.3068905,1,13.9863,,1,0,0,False
Kepler-980,5935.0,0.09718447365926818,1.05,1.06,4.41,0.01,3.55,2.982934834435457,2.8787888,1,14.1122,,1,0,0,False
Kepler-1039,4870.0,-0.558530865712223,0.79,0.74,4.6,0.01,4.37,2.4870110392107914,19.8973441,1,14.0958,,1,0,0,False
Kepler-1018,5518.0,-0.19101802115970878,0.91,0.88,4.52,-0.05,4.47,3.004325673706721,5.6215016,1,15.0142,,1,0,0,False
Kepler-1030,4943.05,-0.55288,0.81,0.721474,4.63011,0.3033,,2.88007122890105,13.4088408,1,15.7163,,1,0,0,False
Kepler-1058,4644.0,-0.7018431242920572,0.73,0.69,4.63,-0.06,3.39,2.691962454622202,23.6633411,1,15.5037,,1,1,1,False
Kepler-1007,4587.0,-0.7107991094762687,0.73,0.7,4.62,0.03,4.17,,9.3089548,1,14.7347,,1,0,0,False
Kepler-1016,5821.0,0.012880247106809968,0.99,1.0,4.44,-0.03,3.89,3.147001948988564,2.6102771,1,15.3193,,2,0,0,False
Kepler-958,5421.0,-0.24179561842320008,0.91,0.86,4.53,0.01,4.37,2.652993381061907,12.0286511,1,13.7299,,1,0,0,False
Kepler-987,5637.0,-0.12483522610977318,0.97,0.91,4.51,0.01,2.45,2.961006061525146,1.9910042,1,14.9789,,1,0,0,False
Kepler-999,6106.64,0.5381,1.15,1.65996,4.05857,-0.0433,,2.7364467022236,8.461559,1,12.2343,,1,0,0,False
Kepler-962,5478.0,-0.223625135873807,0.93,0.86,4.54,0.01,2.4,2.61435506378601,6.6108224,1,13.558,,1,0,0,False
Kepler-1020,5238.53,-0.43597,0.89,0.734936,4.65496,-0.147,,2.618422579607795,32.2232623,1,13.9833,,1,0,0,False
Kepler-984,5610.0,-0.11429280790019662,0.96,0.93,4.49,0.04,3.98,2.662935289687403,14.0649959,1,13.4677,,1,0,0,False
Kepler-1012,5471.21,-0.19399,0.96,0.890203,4.52136,0.264,,2.613923178428325,4.7089753,1,13.3154,,1,0,0,False
Kepler-979,5186.7,-0.31956,0.88,0.857218,4.51637,0.131,,2.7608015716134684,14.9744781,1,14.625,,1,0,0,False
Kepler-982,6139.0,0.3264598040869746,1.16,1.29,4.28,0.05,3.55,2.90389214764637,4.2218301,1,12.9868,,1,0,0,False
Kepler-1044,5819.58,0.03099,1.05,1.01944,4.44253,-0.0998,,3.1068569619525177,9.8158698,1,15.3061,,1,0,0,False
Kepler-960,4508.31,-0.6289,0.709,0.794648,4.48836,-0.061,,2.454716838557124,19.4732045,1,13.8413,,1,0,0,False
